project_id,project_name,client_name,department_id,start_date,end_date,status,budget_hours
1,Exploit Compelling Bandwidth Initiative,Petersen-Vargas,3,2023-10-22,2024-04-01,Completed,825.7
2,Harness Interactive Infrastructures Initiative,Keith-Sanchez,5,2025-04-21,2025-07-17,Completed,3600.72
3,Target Enterprise Supply-Chains Initiative,Snyder LLC,6,2023-12-09,,Active,3834.14
4,Reinvent Holistic E-Tailers Initiative,Salinas-Peterson,3,2025-01-13,,Active,2534.83
5,Matrix Efficient Schemas Initiative,Black and Sons,2,2024-01-08,2024-03-21,Completed,2703.18
6,Evolve Web-Enabled E-Markets Initiative,Peters-Allen,7,2025-05-22,2025-11-12,Completed,3482.37
7,Syndicate Holistic Systems Initiative,Davis and Sons,6,2023-12-14,,Active,3129.89
8,Strategize Interactive Content Initiative,"Perkins, Kennedy and Schmidt",5,2024-12-24,2025-08-07,On Hold,2628.17
9,Brand Open-Source Convergence Initiative,"Chavez, Parker and Hall",6,2026-04-15,2026-06-30,Completed,3835.27
10,Drive Dynamic Vortals Initiative,Newton Ltd,7,2026-03-16,,Active,2802.97
11,Reinvent Dynamic E-Tailers Initiative,"Washington, Hardy and Bray",2,2025-03-01,2025-09-23,Completed,1870.5
12,Mesh Front-End Platforms Initiative,Phillips LLC,3,2026-03-18,2026-06-30,Completed,3473.64
13,Reinvent Seamless Synergies Initiative,"Ferguson, Hill and Mccann",4,2025-04-14,2025-12-20,Completed,696.91
14,Engage Distributed Channels Initiative,"Oneill, Henry and Salas",2,2025-07-28,2025-09-23,Completed,1972.6
15,Maximize Front-End Info-Mediaries Initiative,Alexander-Lopez,1,2024-12-29,2025-03-05,Completed,1302.81
16,Streamline Dot-Com Info-Mediaries Initiative,Short Group,7,2025-08-25,2026-01-09,Completed,3628.78
17,Synthesize Intuitive Networks Initiative,"Parks, Hernandez and Shepherd",2,2025-05-01,2025-12-01,Completed,3099.86
18,Monetize Strategic Action-Items Initiative,Grant Group,3,2026-04-16,2026-06-30,On Hold,2090.01
19,Expedite Magnetic Deliverables Initiative,Hayes-Ramos,2,2024-01-01,2024-06-08,On Hold,1017.55
20,Cultivate Cutting-Edge Content Initiative,"Oliver, Lynch and Singh",3,2025-06-22,,Active,2080.6
21,Engineer Best-Of-Breed Functionalities Initiative,Baker Inc,1,2026-02-18,,Active,3419.25
22,Leverage Web-Enabled Roi Initiative,"Jones, Smith and Hayes",3,2025-11-29,,Active,2964.53
23,Expedite Collaborative Technologies Initiative,Hall Ltd,5,2025-10-03,2026-02-12,Completed,2334.9
24,Envisioneer Ubiquitous Partnerships Initiative,"Hall, Baker and Moody",5,2025-07-12,2025-08-29,On Hold,1911.35
25,Benchmark 24/365 E-Commerce Initiative,Stephens Ltd,2,2025-01-23,2025-07-31,Completed,3905.31
26,Orchestrate Real-Time Eyeballs Initiative,Brown LLC,7,2025-09-14,2026-01-08,Completed,748.22
27,Expedite Front-End Systems Initiative,Harrison LLC,1,2026-05-08,2026-06-17,Completed,720.74
28,Scale Wireless Niches Initiative,"Fernandez, Kim and George",2,2025-05-13,2025-10-22,On Hold,2503.79
29,Matrix User-Centric Vortals Initiative,"Wright, Davis and Hayden",5,2026-05-21,,Active,1410.41
30,E-Enable Vertical Methodologies Initiative,Johnston-Hines,5,2025-09-12,2026-04-19,Completed,1478.22
