task_id,project_id,task_name,assigned_employee_id,status,planned_hours,created_date,due_date
1,1,Enhanced methodical model,81,Done,99.18,2024-03-06,2024-04-11
2,1,Streamlined leadingedge focus group,182,Done,29.04,2023-10-26,2023-11-23
3,1,Enterprise-wide optimal Internet solution,197,Done,175.44,2024-02-05,2024-03-18
4,1,Sharable mobile array,128,Done,58.98,2024-03-31,2024-04-06
5,1,Phased grid-enabled installation,196,In Progress,17.86,2024-03-18,2024-04-28
6,1,Managed fresh-thinking secured line,170,Done,146.47,2024-02-21,2024-03-07
7,1,Customer-focused cohesive groupware,10,In Progress,117.93,2024-01-27,2024-02-10
8,2,Open-source system-worthy methodology,119,To Do,68.23,2025-05-05,2025-05-22
9,2,Horizontal stable initiative,112,In Progress,104.35,2025-05-10,2025-06-10
10,2,Virtual neutral alliance,192,To Do,34.51,2025-07-08,2025-08-12
11,2,Persevering background functionalities,179,Done,99.85,2025-05-17,2025-06-26
12,2,Function-based fresh-thinking budgetary management,124,In Progress,183.13,2025-06-08,2025-07-03
13,2,Visionary impactful migration,183,Done,156.22,2025-06-03,2025-07-12
14,2,Adaptive stable moratorium,130,Done,44.91,2025-07-17,2025-08-07
15,2,Persistent incremental application,81,Done,51.17,2025-05-22,2025-06-13
16,3,Ergonomic multi-state hierarchy,187,In Progress,143.36,2026-02-05,2026-02-28
17,3,Secured web-enabled methodology,151,Done,187.27,2024-10-28,2024-12-02
18,3,Self-enabling leadingedge task-force,35,Done,118.11,2026-03-02,2026-03-24
19,3,Business-focused demand-driven flexibility,94,Done,191.28,2025-06-17,2025-07-16
20,3,Reactive clear-thinking forecast,13,Done,63.23,2026-03-11,2026-03-25
21,4,Organic tangible matrix,177,Done,57.24,2025-04-03,2025-04-30
22,4,Decentralized 4thgeneration product,145,In Progress,60.06,2026-05-18,2026-06-05
23,4,Robust disintermediate strategy,165,To Do,150.25,2025-10-18,2025-10-31
24,4,Diverse fault-tolerant neural-net,181,To Do,181.8,2025-09-15,2025-10-05
25,4,Advanced neutral installation,16,In Progress,27.24,2025-09-01,2025-10-16
26,4,Cross-group directional budgetary management,185,To Do,155.99,2025-12-17,2026-01-21
27,4,Persistent bottom-line project,111,In Progress,133.36,2025-01-18,2025-02-27
28,4,Distributed modular structure,78,In Progress,69.66,2026-05-15,2026-06-19
29,5,Implemented multimedia strategy,64,Done,110.75,2024-01-15,2024-01-25
30,5,Future-proofed intangible matrices,49,Done,187.31,2024-01-12,2024-01-28
31,5,Phased dynamic knowledgebase,51,Done,187.83,2024-01-12,2024-02-11
32,5,Reactive client-server info-mediaries,81,To Do,117.05,2024-02-14,2024-02-21
33,5,Ergonomic radical migration,123,Done,197.91,2024-01-21,2024-02-16
34,5,User-friendly client-driven architecture,38,Done,171.4,2024-03-17,2024-04-24
35,5,Grass-roots zero administration utilization,32,In Progress,71.49,2024-03-07,2024-03-29
36,5,Operative global toolset,5,In Progress,149.43,2024-03-06,2024-03-27
37,6,Profit-focused encompassing ability,164,In Progress,172.38,2025-10-14,2025-10-31
38,6,Horizontal uniform framework,88,Done,24.65,2025-09-02,2025-10-04
39,6,Reverse-engineered optimal protocol,39,In Progress,99.67,2025-11-09,2025-11-20
40,6,Pre-emptive coherent knowledge user,105,Done,53.22,2025-07-24,2025-07-29
41,6,Public-key mission-critical hardware,157,Done,146.79,2025-07-29,2025-08-24
42,7,Managed neutral task-force,18,In Progress,136.21,2024-09-06,2024-10-04
43,7,Quality-focused homogeneous knowledgebase,110,In Progress,139.73,2025-04-03,2025-04-27
44,7,Inverse content-based standardization,173,To Do,183.9,2026-06-17,2026-07-11
45,8,Front-line object-oriented info-mediaries,61,In Progress,191.81,2025-03-28,2025-05-11
46,8,Focused zero-defect installation,163,Done,79.74,2025-04-25,2025-05-09
47,8,Balanced foreground synergy,145,Done,161.98,2025-06-21,2025-07-31
48,8,Phased tertiary workforce,185,In Progress,152.91,2025-07-23,2025-08-10
49,8,Multi-tiered human-resource protocol,121,Done,109.41,2025-08-04,2025-08-14
